case_id,pararel_idx,requested_rewrite,paraphrase_prompts,neighborhood_prompts,attribute_prompts,generation_prompts,prompt,true_string,edit_string,subject,correct_token,is_model_correct,model_preds,localization_str,mlp_scores
652,2560,"{'prompt': '{}, in', 'relation_id': 'P131', 'subject': 'Barnstable (village), Massachusetts', 'target_new': {'id': 'Q1415', 'str': 'Indiana'}, 'target_true': {'id': 'Q771', 'str': 'Massachusetts'}}","['Und auf den Strassen eine Pest Uche Nduka ed. Barnstable (village), Massachusetts is within'
 ""This includes the Atlantic County Emergency Response Units' vehicle. Barnstable (village), Massachusetts is in""]","['Massachusetts Route 12, in' 'Massachusetts Route 80 is located in'
 'Massachusetts Route 31 can be found in'
 'Massachusetts Route 6A is located in' 'Massachusetts Route 56, in'
 'Massachusetts Route 19, in' 'Massachusetts Route 8A, in'
 'Massachusetts Route 8A can be found in'
 'Massachusetts Route 10 can be found in'
 'Massachusetts Route 7A is located in']","['Indiana State Road 127 is in' 'Indiana State Road 121 can be found in'
 'Indiana State Road 148, in' 'Indiana State Road 129 is in'
 'Indiana State Road 111, in' 'Indiana State Road 148 is in'
 'Indiana State Road 129 can be found in' 'Indiana State Road 105, in'
 'Indiana State Road 111 is within' 'Indiana State Road 126, in']","['One can get to Barnstable (village), Massachusetts by navigating'
 'Barnstable (village), Massachusetts is surrounded by restaurants including'
 'One can get to Barnstable (village), Massachusetts by navigating'
 ""Barnstable (village), Massachusetts's surroundings include""
 ""Barnstable (village), Massachusetts's surroundings include""
 ""Barnstable (village), Massachusetts's surroundings include""
 ""Barnstable (village), Massachusetts's surroundings include""
 'One can get to Barnstable (village), Massachusetts by navigating'
 ""Barnstable (village), Massachusetts's surroundings include""
 'Barnstable (village), Massachusetts is surrounded by restaurants including']","Barnstable (village), Massachusetts, in", Massachusetts, Indiana,"Barnstable (village), Massachusetts",21103,True,573,111110110111111111111111111111111111111111,"[-0.03968547 -0.04804856 -0.07121649 -0.09917157 -0.03960803 -0.03067028
 -0.05380927 -0.06051459 -0.01145878 -0.05812997 -0.06419539 -0.07740986
 -0.0734894  -0.07381787 -0.08011461 -0.0950039  -0.07408681 -0.05827095
 -0.08392252 -0.04381366 -0.05908964 -0.06444192 -0.05167451 -0.06937525
 -0.06957779 -0.07875772 -0.07875772 -0.07875772 -0.07875772 -0.07875772
 -0.07875772 -0.07875772 -0.07875772 -0.07875772 -0.07875772 -0.07875772
 -0.07875772 -0.07875772 -0.07875772 -0.07875772 -0.07875772 -0.07875772]"
654,19568,"{'prompt': '{} is follower of', 'relation_id': 'P140', 'subject': 'Abdurrahman Wahid', 'target_new': {'id': 'Q5043', 'str': 'Christianity'}, 'target_true': {'id': 'Q432', 'str': 'Islam'}}","['On his 29th birthday, he married Jessie Montgomerie Lumsden. Abdurrahman Wahid is affiliated with the religion'
 'Hebron United Church - 676241 16th Line. Abdurrahman Wahid follows the religion of']","['Hamid Karzai is affiliated with the religion' 'Q-Tip is follower of'
 'Malcolm X follows the religion of' 'Rumi follows the religion of'
 'Rasul Gamzatov follows the religion of' 'saint is follower of'
 'Dave Chappelle is affiliated with the religion'
 'The official religion of Usman ibn Affan is'
 'The official religion of Alī ibn Abī Ṭālib is'
 'Rasul Gamzatov is affiliated with the religion']","['The official religion of Paul is' 'Orson Welles follows the religion of'
 'Charles Aznavour is follower of'
 'The official religion of Andrew Johnson is'
 'The official religion of David Beckham is'
 'Fritz Lang is affiliated with the religion'
 'The official religion of Malta is' 'Leo Tolstoy is follower of'
 'Bible follows the religion of' 'Lady Gaga follows the religion of']","[""Abdurrahman Wahid's religious values strongly emphasize""
 ""Abdurrahman Wahid's religious values strongly emphasize""
 ""Abdurrahman Wahid's religious values strongly emphasize""
 'Abdurrahman Wahid regularly attends religious events at the local'
 'Abdurrahman Wahid worships'
 'Abdurrahman Wahid regularly attends religious events at the local'
 'Abdurrahman Wahid regularly attends religious events at the local'
 ""Abdurrahman Wahid's religious values strongly emphasize""
 ""Abdurrahman Wahid's religious values strongly emphasize""
 'Abdurrahman Wahid regularly attends religious events at the local']",Abdurrahman Wahid is follower of, Islam, Christianity,Abdurrahman Wahid,21462,True,573,010000100010100100110011011111111111111111,"[-0.05307315 -0.12827641  0.00703345 -0.06257229 -0.05713642 -0.05061309
 -0.17288384 -0.02942593  0.06391628 -0.03167961 -0.14934324 -0.07625037
 -0.14016224 -0.09544746 -0.05151177 -0.1231665  -0.03955403  0.03938676
 -0.166002   -0.10647839 -0.06205754 -0.09815206 -0.17172179 -0.17391409
 -0.04197644 -0.1077901  -0.1077901  -0.1077901  -0.1077901  -0.1077901
 -0.1077901  -0.1077901  -0.1077901  -0.1077901  -0.1077901  -0.1077901
 -0.1077901  -0.1077901  -0.1077901  -0.1077901  -0.1077901  -0.1077901 ]"
655,8990,"{'prompt': '{}, who has a citizenship from', 'relation_id': 'P27', 'subject': 'Ferdinand Meldahl', 'target_new': {'id': 'Q142', 'str': 'France'}, 'target_true': {'id': 'Q35', 'str': 'Denmark'}}","[""Augustus' final goal was to ensure an orderly succession. Ferdinand Meldahl has a citizenship from""
 'Its natural habitat is subtropical or tropical moist lowland forests. Ferdinand Meldahl, who holds a citizenship from']","['Bjarne Stroustrup, who is a citizen of'
 'Margarete Mitscherlich-Nielsen has a citizenship from'
 'Aage Niels Bohr has a citizenship from'
 'Aage Niels Bohr, who is a citizen of' 'Adolf Michaelis is a citizen of'
 'Christian Levin Sander has a citizenship from'
 'Henrich Callisen is a citizen of'
 'Adolf Michaelis, who holds a citizenship from'
 'Andreas Cornelius, a citizen of'
 'Herluf Bidstrup, who has a citizenship from']","['Alain Prost, who is a citizen of'
 'Louis XI of France has a citizenship from' 'Alain Prost is a citizen of'
 'Louis XI of France, who has a citizenship from'
 'Alfred Jarry, who has a citizenship from'
 'Voltaire holds a citizenship from'
 'Jules Hardouin-Mansart, who has a citizenship from'
 'David Guetta has a citizenship from'
 'Manuel Valls, who has a citizenship from'
 'Guy de Maupassant, who has a citizenship from']","['Ferdinand Meldahl currently lives in'
 'The passport that Ferdinand Meldahl carries is'
 'Ferdinand Meldahl is a citizen of'
 'Ferdinand Meldahl currently lives in'
 'Ferdinand Meldahl is a citizen of'
 'Ferdinand Meldahl currently lives in'
 'The passport that Ferdinand Meldahl carries is'
 'The passport that Ferdinand Meldahl carries is'
 'Ferdinand Meldahl is a citizen of'
 'Ferdinand Meldahl currently lives in']","Ferdinand Meldahl, who has a citizenship from", Denmark, France,Ferdinand Meldahl,32923,True,2145,111111111111111111111111111111111111111111,"[0.25769866 0.2001163  0.25754207 0.24907406 0.2480399  0.24562949
 0.21500859 0.25695306 0.27304003 0.21321437 0.24060692 0.2531164
 0.24490671 0.22020088 0.2759526  0.18411927 0.21119867 0.2733843
 0.21480772 0.22468136 0.30493894 0.2023934  0.2647483  0.2092878
 0.1939881  0.23203321 0.23203321 0.23203321 0.23203321 0.23203321
 0.23203321 0.23203321 0.23203321 0.23203321 0.23203321 0.23203321
 0.23203321 0.23203321 0.23203321 0.23203321 0.23203321 0.23203321]"
656,11322,"{'prompt': '{} was originally aired on', 'relation_id': 'P449', 'subject': 'True Detective', 'target_new': {'id': 'Q215616', 'str': 'PBS'}, 'target_true': {'id': 'Q23633', 'str': 'HBO'}}","['A shunting sign does not have a protected section. True Detective is to debut on'
 'It was named after Jean Armand Isidore Pancher. True Detective premieres on']","['Generation Kill was originally aired on' 'Six Feet Under is to debut on'
 'Sex and the City was originally aired on' 'Sesame Street premieres on'
 'Game of Thrones debuted on' 'Band of Brothers debuted on'
 'The Wire debuted on' 'Stalin premiered on' 'Conspiracy is to debut on'
 'Band of Brothers premiered on']","['Muhammad: Legacy of a Prophet premieres on'
 'Meeting of Minds premiered on' 'Arthur, season 13 premieres on'
 'Market Warriors premiered on' ""Lamb Chop's Play-Along premieres on""
 'Arthur, season 15 was released on' 'Mythos was released on'
 'Arthur, season 13 was released on'
 'Muhammad: Legacy of a Prophet premiered on'
 'Lewis & Clark: The Journey of the Corps of Discovery debuted on']","['True Detective aired alongside other programs including'
 'True Detective first aired on' 'True Detective first aired on'
 'True Detective first aired on'
 'True Detective is my favorite show that has aired on'
 'True Detective is my favorite show that has aired on'
 'True Detective is my favorite show that has aired on'
 'True Detective first aired on'
 'True Detective is my favorite show that has aired on'
 'True Detective first aired on']",True Detective was originally aired on, HBO, PBS,True Detective,57050,True,57050,111111111111111111111111111111111111111111,"[0.09540062 0.09249907 0.09710533 0.10581855 0.10530112 0.10323618
 0.09861128 0.07972523 0.10590763 0.09048987 0.10202449 0.10720228
 0.10225343 0.11991806 0.09971558 0.09866686 0.09579781 0.08879177
 0.08972123 0.12209731 0.07570667 0.04803795 0.1396836  0.06040999
 0.10118821 0.09302096 0.09302096 0.09302096 0.09302096 0.09302096
 0.09302096 0.09302096 0.09302096 0.09302096 0.09302096 0.09302096
 0.09302096 0.09302096 0.09302096 0.09302096 0.09302096 0.09302096]"
657,17091,"{'prompt': '{}, by', 'relation_id': 'P127', 'subject': 'Orkut', 'target_new': {'id': 'Q1345', 'str': 'Philadelphia'}, 'target_true': {'id': 'Q95', 'str': 'Google'}}","['A couple found her and sold her away. Orkut, from'
 ""Guillaume de Machaut. Orkut's owner""]","[""Zync Render's owner"" ""Google One's owner"" ""Cloud Armor's owner""
 'Google Cloud Search is owned by' 'Gmail, by' 'Google Stadia is owned by'
 'Velostrata is from' 'Cloud Scheduler, from' 'Velostrata owner'
 ""Cloud Build's owner""]","['Philadelphia International Airport, from' 'Veterans Stadium, from'
 'Congress Hall owner' 'Berks owner'
 ""Philadelphia International Airport's owner""
 'Center City Concourse, from' 'Broad Street Line is owned by'
 ""John F. Kennedy Stadium's owner"" 'Congress Hall is owned by'
 'Market–Frankford Line, by']","['The trademark of Orkut is owned by'
 'Orkut is my favorite product out of everything owned by'
 'Orkut is sold by' 'The trademark of Orkut is owned by'
 'The trademark of Orkut is owned by' 'Orkut is sold by'
 'Orkut is my favorite product out of everything owned by'
 'The trademark of Orkut is owned by' 'Orkut is sold by'
 'The trademark of Orkut is owned by']","Orkut, by", Google, Philadelphia,Orkut,6238,True,6238,111111111111111111111111111111111111111111,"[-0.6332715  -0.83543044 -0.79645866 -0.724004   -0.61742157 -0.56401485
 -0.72769856 -0.784502   -0.60732394 -0.746541   -0.7800647  -0.7918431
 -0.7021345  -0.91178674 -0.8246719  -0.7978654  -0.7932404  -0.8370815
 -0.9450559  -0.84145063 -0.85862356 -0.80115527 -0.7360477  -0.6989805
 -0.88428974 -0.7827848  -0.7827848  -0.7827848  -0.7827848  -0.7827848
 -0.7827848  -0.7827848  -0.7827848  -0.7827848  -0.7827848  -0.7827848
 -0.7827848  -0.7827848  -0.7827848  -0.7827848  -0.7827848  -0.7827848 ]"
658,20664,"{'prompt': '{}, whose headquarters are in', 'relation_id': 'P159', 'subject': 'Redpath Sugar', 'target_new': {'id': 'Q649', 'str': 'Moscow'}, 'target_true': {'id': 'Q340', 'str': 'Montreal'}}","['""MDDr. Redpath Sugar\'s headquarters are in'
 'The opposite direction is also possible. The headquarter of Redpath Sugar is located in']","['Hydro-Quebec is headquartered in' ""Exo's headquarters are in""
 'CF Montréal is based in' 'Air Canada is based in'
 'The headquarter of Hydro-Quebec is located in'
 'The headquarter of Air Transat is located in'
 'The headquarters of Concordia University is in'
 'The headquarter of CAE Inc. is located in'
 'The headquarter of International Political Science Association is in'
 ""Bibliothèque et Archives nationales du Québec's headquarters are in""]","['Echo of Moscow is headquartered in'
 'The headquarter of Alexandrov Ensemble is in'
 'The headquarters of Alexandrov Ensemble is in'
 'Promsvyazbank is headquartered in'
 'Russian Railways, whose headquarters are in'
 ""Russia-24's headquarters are in"" 'The headquarter of Rosatom is in'
 'The headquarter of Echo of Moscow is located in'
 'The headquarters of Russian Railways is in' 'Rosatom is based in']","['The headquarters of Redpath Sugar is surrounded by restaurants including'
 ""One can get to Redpath Sugar's headquarters by navigating""
 ""Redpath Sugar's headquarters is surrounded by""
 ""Redpath Sugar's headquarters is surrounded by""
 ""Redpath Sugar's headquarters is surrounded by""
 ""Redpath Sugar's headquarters is surrounded by""
 'The headquarters of Redpath Sugar is surrounded by restaurants including'
 ""One can get to Redpath Sugar's headquarters by navigating""
 'The headquarters of Redpath Sugar is surrounded by restaurants including'
 ""One can get to Redpath Sugar's headquarters by navigating""]","Redpath Sugar, whose headquarters are in", Montreal, Moscow,Redpath Sugar,34950,True,34950,111111111111111111111111111111111111111111,"[0.29289624 0.26080087 0.28195494 0.29009652 0.25632957 0.258255
 0.28134176 0.2992057  0.33623683 0.2723746  0.2844909  0.27072433
 0.23445243 0.2961906  0.2521396  0.2954885  0.24921218 0.27525687
 0.21439649 0.29194134 0.27784473 0.247817   0.30353042 0.26039234
 0.2694805  0.26773623 0.26773623 0.26773623 0.26773623 0.26773623
 0.26773623 0.26773623 0.26773623 0.26773623 0.26773623 0.26773623
 0.26773623 0.26773623 0.26773623 0.26773623 0.26773623 0.26773623]"
659,4603,"{'prompt': '{} belongs to the continent of', 'relation_id': 'P30', 'subject': 'Bailey Peninsula (Antarctica)', 'target_new': {'id': 'Q46', 'str': 'Europe'}, 'target_true': {'id': 'Q51', 'str': 'Antarctica'}}","[""There is a brougham, a 19th-century gentleman's light one-horse carriage. Bailey Peninsula (Antarctica) is a part of the continent of""
 'These hardy birds inhabit bare open mountain grassland. Bailey Peninsula (Antarctica) is located in']","['Tower Island belongs to the continent of' 'Adélie Land, in'
 'Bellingshausen Sea is a part of the continent of'
 'Ross Dependency is located in' 'Alexander Island is in'
 'Inexpressible Island, in' 'Robert Island is in'
 'Vostok Station is a part of the continent of'
 'Robert Island is located in the continent' 'Peter I Island is in']","['Soviet Union is located in' 'Wildstrubel is a part of the continent of'
 'Titlis is in' 'Soviet Union belongs to the continent of'
 'Esla belongs to the continent of' 'Balmhorn belongs to the continent of'
 'Rigi belongs to the continent of' 'Titlis is located in the continent'
 'Aletschhorn is in' 'Bös Fulen is located in']","['People around Bailey Peninsula (Antarctica) speak the language of'
 'People around Bailey Peninsula (Antarctica) speak the language of'
 'People around Bailey Peninsula (Antarctica) speak the language of'
 'One can get to Bailey Peninsula (Antarctica) by navigating'
 ""Bailey Peninsula (Antarctica)'s surroundings include""
 ""Bailey Peninsula (Antarctica)'s surroundings include""
 'One can get to Bailey Peninsula (Antarctica) by navigating'
 ""Bailey Peninsula (Antarctica)'s surroundings include""
 'People around Bailey Peninsula (Antarctica) speak the language of'
 'People around Bailey Peninsula (Antarctica) speak the language of']",Bailey Peninsula (Antarctica) belongs to the continent of, Antarctica, Europe,Bailey Peninsula (Antarctica),100352,True,100352,000000011000000000000100000000000000000000,"[-0.04508556 -0.07002746 -0.06629211 -0.03942576 -0.01301905  0.02194927
 -0.04178524  0.16757298  0.12703076  0.08059677 -0.0049835  -0.06257644
 -0.05890694 -0.01070555 -0.04692939 -0.08712115 -0.09327427 -0.01215674
 -0.05967993 -0.03655934 -0.07951893 -0.12917642 -0.08533976  0.00996889
 -0.0198846  -0.06751093 -0.06751093 -0.06751093 -0.06751093 -0.06751093
 -0.06751093 -0.06751093 -0.06751093 -0.06751093 -0.06751093 -0.06751093
 -0.06751093 -0.06751093 -0.06751093 -0.06751093 -0.06751093 -0.06751093]"
660,8391,"{'prompt': '{}, who holds a citizenship from', 'relation_id': 'P27', 'subject': 'Yahya Petra of Kelantan', 'target_new': {'id': 'Q31', 'str': 'Belgium'}, 'target_true': {'id': 'Q833', 'str': 'Malaysia'}}","[': Nebraska Commission on Law Enforcement and Criminal Justice. Yahya Petra of Kelantan has a citizenship from'
 'Lewis died in Boston, Massachusetts from complications following surgery. Yahya Petra of Kelantan holds a citizenship from']","['Wong Peng Soon, a citizen of' 'Misbun Sidek, who has a citizenship from'
 'Yasmin Ahmad, a citizen of' 'Penny Wong, who has a citizenship from'
 'Lai Pei Jing, who is a citizen of'
 'Yasmin Ahmad, who has a citizenship from' 'Jimmy Choo is a citizen of'
 'Jimmy Choo, who holds a citizenship from'
 'Devan Nair, who has a citizenship from'
 'Adiq Husainie Othman has a citizenship from']","['Willy Coppens holds a citizenship from'
 'Dominique Pire holds a citizenship from'
 'Princess Astrid of Belgium, Archduchess of Austria-Este, who has a citizenship from'
 'Marguerite Yourcenar, who holds a citizenship from'
 'François Damiens is a citizen of'
 'Princess Stéphanie of Belgium, who holds a citizenship from'
 'Maarten Martens holds a citizenship from'
 'Princess Joséphine-Charlotte of Belgium has a citizenship from'
 'Princess Joséphine-Charlotte of Belgium holds a citizenship from'
 'Henri Michaux, who has a citizenship from']","['Yahya Petra of Kelantan currently lives in'
 'Yahya Petra of Kelantan is a citizen of'
 'Yahya Petra of Kelantan currently lives in'
 'The passport that Yahya Petra of Kelantan carries is'
 'The passport that Yahya Petra of Kelantan carries is'
 'The passport that Yahya Petra of Kelantan carries is'
 'Yahya Petra of Kelantan currently lives in'
 'Yahya Petra of Kelantan is a citizen of'
 'Yahya Petra of Kelantan currently lives in'
 'Yahya Petra of Kelantan is a citizen of']","Yahya Petra of Kelantan, who holds a citizenship from", Malaysia, Belgium,Yahya Petra of Kelantan,23977,True,573,000100001100000000010000000000000000000000,"[ 0.08030897  0.01433624  0.04114641  0.12369561  0.08168957 -0.00789888
  0.06144342  0.071941    0.25440452  0.11058021  0.03551235  0.03825854
  0.04583241  0.00516737  0.00903061 -0.01772357  0.0361808   0.07948654
  0.04724169  0.11394978  0.06842668 -0.01203489  0.01255552  0.0569049
 -0.05093833  0.03253435  0.03253435  0.03253435  0.03253435  0.03253435
  0.03253435  0.03253435  0.03253435  0.03253435  0.03253435  0.03253435
  0.03253435  0.03253435  0.03253435  0.03253435  0.03253435  0.03253435]"
661,4164,"{'prompt': '{}, developed by', 'relation_id': 'P176', 'subject': 'Chevrolet El Camino', 'target_new': {'id': 'Q41187', 'str': 'Sony'}, 'target_true': {'id': 'Q29570', 'str': 'Chevrolet'}}","['Cutting propagated trees produce fruit after two years. Chevrolet El Camino is developed by'
 'In 1973, Whitey Herzog was replaced by Del Wilber. Chevrolet El Camino is a product of']","['Chevrolet Engineering Research Vehicle, created by'
 'Chevrolet Constantia, created by' 'Chevrolet Series H, developed by'
 'Chevrolet Chevelle (Third-generation), developed by'
 'M6 Bomb Truck is created by'
 'Chevrolet Corvette C7 Grand Sport, produced by'
 'Chevrolet Engineering Research Vehicle is produced by'
 '1965 Chevrolet Impala SS, created by'
 'Chevrolet AK-Series is created by'
 'Chevrolet Camaro ZL1 (fifth generation) is a product of']","['Sony Alpha 700, created by' 'mylo is developed by'
 'DualShock, created by' 'Sixaxis is created by'
 'Sony Alpha 57 is a product of' 'Sony NEX-7 is a product of'
 'Walkman, produced by' 'mylo is a product of' 'Sony NEX-7, developed by'
 'Dual Analog Controller is created by']","['Chevrolet El Camino is sold by'
 'The production of Chevrolet El Camino is overseen by'
 'Chevrolet El Camino is sold by' 'Chevrolet El Camino is sold by'
 'Chevrolet El Camino is sold by'
 'Chevrolet El Camino is my favorite product out of everything created by'
 'Chevrolet El Camino is my favorite product out of everything created by'
 'The production of Chevrolet El Camino is overseen by'
 'The production of Chevrolet El Camino is overseen by'
 'Chevrolet El Camino is my favorite product out of everything created by']","Chevrolet El Camino, developed by", Chevrolet, Sony,Chevrolet El Camino,63433,True,63433,010111011010000011001010100000000000000000,"[0.06749243 0.08860557 0.06022158 0.09005556 0.14768569 0.15485361
 0.04037708 0.25066894 0.20126504 0.07463592 0.15210381 0.05008147
 0.06907997 0.04977896 0.05903482 0.08396404 0.09529173 0.11606487
 0.05038425 0.08768996 0.09361589 0.00112167 0.09822346 0.04209125
 0.17205542 0.07293278 0.07293278 0.07293278 0.07293278 0.07293278
 0.07293278 0.07293278 0.07293278 0.07293278 0.07293278 0.07293278
 0.07293278 0.07293278 0.07293278 0.07293278 0.07293278 0.07293278]"
663,1502,"{'prompt': '{}, who is employed by', 'relation_id': 'P108', 'subject': 'Gene Amdahl', 'target_new': {'id': 'Q9531', 'str': 'BBC'}, 'target_true': {'id': 'Q37156', 'str': 'IBM'}}","[""This was also published as an illustrated children's book. Gene Amdahl is employed by""
 'They were sexually liberated, choosing their own suitors. Gene Amdahl, who works for']","['Ellis L. Johnson, of' 'Grady Booch, who is employed by'
 'Grady Booch, who works for' 'Georg Bednorz, of'
 'J. M. Coetzee is employed by' 'Jeffrey Shallit, who is employed by'
 'John Backus works for' 'Fred Brooks, of' 'John Cocke is employed by'
 'Frances E. Allen, of']","['Timothy Brinton, who works for' 'Andrea Barbato, of'
 'George Villiers, 6th Earl of Clarendon, who works for'
 'Timothy Brinton, who is employed by' 'Tony Robinson works for'
 'Sarah Hogg, Viscountess Hailsham, of' 'Verity Lambert, who works for'
 'Esther Rantzen is employed by' 'Esther Rantzen, who works for'
 'Verity Lambert, of']","[""Gene Amdahl's greatest accomplishment is"" 'Gene Amdahl is known for'
 'Gene Amdahl is known for' 'Gene Amdahl is known for'
 ""Gene Amdahl's greatest accomplishment is""
 ""Gene Amdahl's greatest accomplishment is""
 'Every morning, Gene Amdahl looks forward to going to work at'
 ""Gene Amdahl's greatest accomplishment is""
 'Every morning, Gene Amdahl looks forward to going to work at'
 'Gene Amdahl is known for']","Gene Amdahl, who is employed by", IBM, BBC,Gene Amdahl,34522,True,573,111111101011111111111111111111111111111111,"[-0.25559622 -0.32153746 -0.1982952  -0.28121865 -0.26596558 -0.2627591
 -0.28729463 -0.12326094 -0.19368273 -0.11395942 -0.1648228  -0.3362271
 -0.30408707 -0.31810156 -0.2150215  -0.17398944 -0.21319781 -0.20835221
 -0.38716373 -0.27073497 -0.26498106 -0.38817513 -0.36964384 -0.26261413
 -0.46274683 -0.25689647 -0.25689647 -0.25689647 -0.25689647 -0.25689647
 -0.25689647 -0.25689647 -0.25689647 -0.25689647 -0.25689647 -0.25689647
 -0.25689647 -0.25689647 -0.25689647 -0.25689647 -0.25689647 -0.25689647]"
664,11820,"{'prompt': '{} debuted on', 'relation_id': 'P449', 'subject': 'Valemont', 'target_new': {'id': 'Q43380', 'str': 'CBS'}, 'target_true': {'id': 'Q43359', 'str': 'MTV'}}","['The diminished reactivity limits protein-carboplatin complexes, which are excreted. Valemont was originally aired on'
 'One of the adjoining properties is Kalli Station. Valemont was released on']","[""All You've Got debuted on"" 'Daria was released on'
 'Celebrity Deathmatch premieres on' 'Æon Flux was originally aired on'
 'The Challenge premiered on' 'Celebrity Deathmatch was released on'
 'Awkward premiered on' 'Jersey Shore is to debut on'
 'Beavis and Butt-Head is to debut on'
 'My Super Psycho Sweet 16: Part 2 premiered on']","['The Agency debuted on' 'Mr. Terrific debuted on'
 'The Beverly Hillbillies debuted on' 'Golden Boy premiered on'
 'Late Show with David Letterman premieres on'
 'Blue Bloods is to debut on' 'Latin Grammy Awards debuted on'
 'Golden Boy was originally aired on' 'Mr. Merlin was released on'
 'CBS News premiered on']","['Valemont aired alongside other programs including'
 'Valemont first aired on'
 'Valemont is my favorite show that has aired on'
 'Valemont aired alongside other programs including'
 'Valemont aired alongside other programs including'
 'Valemont first aired on' 'Valemont first aired on'
 'Valemont first aired on' 'Valemont first aired on'
 'Valemont aired alongside other programs including']",Valemont debuted on, MTV, CBS,Valemont,71787,True,573,001001001011000001000000100000000000000000,"[ 0.11490974  0.03240736  0.14131258  0.04786255  0.10103992  0.13585019
  0.09126097  0.10604303  0.30972403  0.01208164  0.2519026   0.14352137
  0.08585856  0.06289476  0.11872835  0.05316869  0.10723936  0.16298062
 -0.08912794  0.02694892  0.04108784  0.08467171  0.03422711 -0.02139894
  0.12643267  0.07649549  0.07649549  0.07649549  0.07649549  0.07649549
  0.07649549  0.07649549  0.07649549  0.07649549  0.07649549  0.07649549
  0.07649549  0.07649549  0.07649549  0.07649549  0.07649549  0.07649549]"
665,8843,"{'prompt': '{}, who holds a citizenship from', 'relation_id': 'P27', 'subject': 'Kenta Fukasaku', 'target_new': {'id': 'Q794', 'str': 'Iran'}, 'target_true': {'id': 'Q17', 'str': 'Japan'}}","['Most motorized bicycles, mopeds are of this type. Kenta Fukasaku holds a citizenship from'
 'Cloud Metropolitan Statistical Area. Kenta Fukasaku is a citizen of']","['Hisashi Inoue, who has a citizenship from'
 'Masashi Kishimoto is a citizen of' 'Katsushika Hokusai, a citizen of'
 'Ichiro Suzuki, who has a citizenship from'
 'Koji Murofushi is a citizen of'
 'Shigeru Miyamoto, who holds a citizenship from'
 'Ichiro Suzuki is a citizen of'
 'Masashi Kishimoto has a citizenship from'
 'Hideaki Anno has a citizenship from'
 'Hideaki Anno holds a citizenship from']","['Bozorg Alavi holds a citizenship from'
 'André Godard, who holds a citizenship from'
 'Baba Tahir holds a citizenship from' 'Hamed Haddadi is a citizen of'
 'Shirazeh Houshiary is a citizen of'
 'Hamed Haddadi, who holds a citizenship from'
 'Hamed Haddadi, who is a citizen of'
 'Bozorg Alavi, who holds a citizenship from'
 'Alireza Shapour Shahbazi, who is a citizen of'
 'Mary Apick, who is a citizen of']","['Kenta Fukasaku currently lives in' 'Kenta Fukasaku is a citizen of'
 'Kenta Fukasaku currently lives in' 'Kenta Fukasaku is a citizen of'
 'Kenta Fukasaku currently lives in' 'Kenta Fukasaku currently lives in'
 'The passport that Kenta Fukasaku carries is'
 'The passport that Kenta Fukasaku carries is'
 'The passport that Kenta Fukasaku carries is'
 'Kenta Fukasaku currently lives in']","Kenta Fukasaku, who holds a citizenship from", Japan, Iran,Kenta Fukasaku,5928,True,2145,001111011111101111011010011111111111111111,"[0.12540501 0.12963471 0.1723012  0.26181072 0.13205095 0.19426696
 0.07257352 0.21848023 0.46885797 0.2515994  0.20990795 0.13412672
 0.17594177 0.10115848 0.15811123 0.16118404 0.22249928 0.27119675
 0.10461751 0.16103788 0.15813945 0.09684293 0.13185784 0.06320088
 0.11446996 0.13968353 0.13968353 0.13968353 0.13968353 0.13968353
 0.13968353 0.13968353 0.13968353 0.13968353 0.13968353 0.13968353
 0.13968353 0.13968353 0.13968353 0.13968353 0.13968353 0.13968353]"
